Year,REF_REGION,Area,REF_AREA,Country,Level,Measure,Value
2009,NOR,Norvège,NOR,Norvège,CTRY,LIVE_BIRTHS,12.878
2009,IRL,Irlande,IRL,Irlande,CTRY,LIVE_BIRTHS,16.711
2009,BEL,Belgique,BEL,Belgique,CTRY,LIVE_BIRTHS,11.829
2009,EST,Estonie,EST,Estonie,CTRY,LIVE_BIRTHS,11.801
2009,CHE,Suisse,CHE,Suisse,CTRY,LIVE_BIRTHS,10.165
2009,GRC,Grèce,GRC,Grèce,CTRY,LIVE_BIRTHS,10.63
2009,LVA,Lettonie,LVA,Lettonie,CTRY,LIVE_BIRTHS,10.192
2009,SWE,Suède,SWE,Suède,CTRY,LIVE_BIRTHS,12.078
2009,ESP,Espagne,ESP,Espagne,CTRY,LIVE_BIRTHS,10.677
2009,SVK,République slovaque,SVK,République slovaque,CTRY,LIVE_BIRTHS,11.374
2009,DEU,Allemagne,DEU,Allemagne,CTRY,LIVE_BIRTHS,8.111
2009,LUX,Luxembourg,LUX,Luxembourg,CTRY,LIVE_BIRTHS,11.425
2009,ISL,Islande,ISL,Islande,CTRY,LIVE_BIRTHS,15.737
2010,ISL,Islande,ISL,Islande,CTRY,LIVE_BIRTHS,15.449
2010,LUX,Luxembourg,LUX,Luxembourg,CTRY,LIVE_BIRTHS,11.7
2010,DEU,Allemagne,DEU,Allemagne,CTRY,LIVE_BIRTHS,8.288
2010,SVK,République slovaque,SVK,République slovaque,CTRY,LIVE_BIRTHS,11.207
2010,ESP,Espagne,ESP,Espagne,CTRY,LIVE_BIRTHS,10.439
2010,SWE,Suède,SWE,Suède,CTRY,LIVE_BIRTHS,12.38
2010,LVA,Lettonie,LVA,Lettonie,CTRY,LIVE_BIRTHS,9.328
2010,GRC,Grèce,GRC,Grèce,CTRY,LIVE_BIRTHS,10.321
2010,CHE,Suisse,CHE,Suisse,CTRY,LIVE_BIRTHS,10.312
2010,EST,Estonie,EST,Estonie,CTRY,LIVE_BIRTHS,11.869
2010,BEL,Belgique,BEL,Belgique,CTRY,LIVE_BIRTHS,12.002
2010,IRL,Irlande,IRL,Irlande,CTRY,LIVE_BIRTHS,16.524
2010,NOR,Norvège,NOR,Norvège,CTRY,LIVE_BIRTHS,12.647
2010,AUT,Autriche,AUT,Autriche,CTRY,LIVE_BIRTHS,9.428
2010,FIN,Finlande,FIN,Finlande,CTRY,LIVE_BIRTHS,11.395
2010,SVN,Slovénie,SVN,Slovénie,CTRY,LIVE_BIRTHS,10.915
2010,ITA,Italie,ITA,Italie,CTRY,LIVE_BIRTHS,9.414
2010,PRT,Portugal,PRT,Portugal,CTRY,LIVE_BIRTHS,9.588
2010,HUN,Hongrie,HUN,Hongrie,CTRY,LIVE_BIRTHS,9.021
2010,DNK,Danemark,DNK,Danemark,CTRY,LIVE_BIRTHS,11.457
2010,NLD,Pays-Bas,NLD,Pays-Bas,CTRY,LIVE_BIRTHS,11.125
2010,GBR,Royaume-Uni,GBR,Royaume-Uni,CTRY,LIVE_BIRTHS,12.86
2010,LTU,Lituanie,LTU,Lituanie,CTRY,LIVE_BIRTHS,9.763
2010,FRA,France,FRA,France,CTRY,LIVE_BIRTHS,12.867
2010,POL,Pologne,POL,Pologne,CTRY,LIVE_BIRTHS,10.87
2011,POL,Pologne,POL,Pologne,CTRY,LIVE_BIRTHS,10.205
2011,FRA,France,FRA,France,CTRY,LIVE_BIRTHS,12.658
2011,LTU,Lituanie,LTU,Lituanie,CTRY,LIVE_BIRTHS,9.916
2011,GBR,Royaume-Uni,GBR,Royaume-Uni,CTRY,LIVE_BIRTHS,12.761
2011,NLD,Pays-Bas,NLD,Pays-Bas,CTRY,LIVE_BIRTHS,10.811
2011,DNK,Danemark,DNK,Danemark,CTRY,LIVE_BIRTHS,10.61
2011,HUN,Hongrie,HUN,Hongrie,CTRY,LIVE_BIRTHS,8.817
2011,PRT,Portugal,PRT,Portugal,CTRY,LIVE_BIRTHS,9.161
2011,ITA,Italie,ITA,Italie,CTRY,LIVE_BIRTHS,9.118
2011,SVN,Slovénie,SVN,Slovénie,CTRY,LIVE_BIRTHS,10.705
2011,FIN,Finlande,FIN,Finlande,CTRY,LIVE_BIRTHS,11.155
2011,AUT,Autriche,AUT,Autriche,CTRY,LIVE_BIRTHS,9.326
2011,NOR,Norvège,NOR,Norvège,CTRY,LIVE_BIRTHS,12.239
2011,IRL,Irlande,IRL,Irlande,CTRY,LIVE_BIRTHS,16.197
2011,BEL,Belgique,BEL,Belgique,CTRY,LIVE_BIRTHS,11.7
2011,EST,Estonie,EST,Estonie,CTRY,LIVE_BIRTHS,11.04
2011,CHE,Suisse,CHE,Suisse,CTRY,LIVE_BIRTHS,10.268
2011,GRC,Grèce,GRC,Grèce,CTRY,LIVE_BIRTHS,9.568
2011,LVA,Lettonie,LVA,Lettonie,CTRY,LIVE_BIRTHS,9.074
2011,SWE,Suède,SWE,Suède,CTRY,LIVE_BIRTHS,11.871
2011,ESP,Espagne,ESP,Espagne,CTRY,LIVE_BIRTHS,10.083
2011,SVK,République slovaque,SVK,République slovaque,CTRY,LIVE_BIRTHS,11.277
2011,DEU,Allemagne,DEU,Allemagne,CTRY,LIVE_BIRTHS,8.261
2011,LUX,Luxembourg,LUX,Luxembourg,CTRY,LIVE_BIRTHS,11.017
2011,ISL,Islande,ISL,Islande,CTRY,LIVE_BIRTHS,14.106
2012,ISL,Islande,ISL,Islande,CTRY,LIVE_BIRTHS,14.184
2012,LUX,Luxembourg,LUX,Luxembourg,CTRY,LIVE_BIRTHS,11.481
2012,DEU,Allemagne,DEU,Allemagne,CTRY,LIVE_BIRTHS,8.385
2012,SVK,République slovaque,SVK,République slovaque,CTRY,LIVE_BIRTHS,10.276
2012,ESP,Espagne,ESP,Espagne,CTRY,LIVE_BIRTHS,9.683
2012,SWE,Suède,SWE,Suède,CTRY,LIVE_BIRTHS,11.935
2012,LVA,Lettonie,LVA,Lettonie,CTRY,LIVE_BIRTHS,9.73
2012,GRC,Grèce,GRC,Grèce,CTRY,LIVE_BIRTHS,9.054
2012,CHE,Suisse,CHE,Suisse,CTRY,LIVE_BIRTHS,10.329
2012,EST,Estonie,EST,Estonie,CTRY,LIVE_BIRTHS,10.607
2012,BEL,Belgique,BEL,Belgique,CTRY,LIVE_BIRTHS,11.561
2012,IRL,Irlande,IRL,Irlande,CTRY,LIVE_BIRTHS,15.618
2012,NOR,Norvège,NOR,Norvège,CTRY,LIVE_BIRTHS,12.085
2012,AUT,Autriche,AUT,Autriche,CTRY,LIVE_BIRTHS,9.39
2012,FIN,Finlande,FIN,Finlande,CTRY,LIVE_BIRTHS,11.015
2012,SVN,Slovénie,SVN,Slovénie,CTRY,LIVE_BIRTHS,10.673
2012,ITA,Italie,ITA,Italie,CTRY,LIVE_BIRTHS,8.888
2012,PRT,Portugal,PRT,Portugal,CTRY,LIVE_BIRTHS,8.509
2012,HUN,Hongrie,HUN,Hongrie,CTRY,LIVE_BIRTHS,9.089
2012,DNK,Danemark,DNK,Danemark,CTRY,LIVE_BIRTHS,10.378
2012,NLD,Pays-Bas,NLD,Pays-Bas,CTRY,LIVE_BIRTHS,10.517
2012,GBR,Royaume-Uni,GBR,Royaume-Uni,CTRY,LIVE_BIRTHS,12.757
2012,LTU,Lituanie,LTU,Lituanie,CTRY,LIVE_BIRTHS,9.969
