Year,REF_AREA,birth_rate,fertility
2009,ESP,10.677,1.38
2009,SVK,11.374,1.44
2009,DEU,8.111,1.36
2009,LUX,11.425,1.59
2009,ISL,15.737,2.23
2010,ISL,15.449,2.2
2010,LUX,11.7,1.63
2010,DEU,8.288,1.39
2010,SVK,11.207,1.43
2010,ESP,10.439,1.37
2010,SWE,12.38,1.98
2010,LVA,9.328,1.36
2010,GRC,10.321,1.48
2010,CHE,10.312,1.52
2010,EST,11.869,1.72
2010,IRL,16.524,2.05
2010,NOR,12.647,1.95
2010,AUT,9.428,1.44
2010,FIN,11.395,1.87
2010,SVN,10.915,1.57
2010,ITA,9.414,1.46
2010,PRT,9.588,1.39
2010,HUN,9.021,1.25
2010,DNK,11.457,1.87
2010,NLD,11.125,1.79
2010,GBR,12.86,1.48
2010,LTU,9.763,1.5
2010,FRA,12.867,2.03
2010,POL,10.87,1.38
2011,POL,10.205,1.3
2011,FRA,12.658,2.01
2011,LTU,9.916,1.55
2011,GBR,12.761,1.48
2011,NLD,10.811,1.76
2011,DNK,10.61,1.75
2011,HUN,8.817,1.23
2011,PRT,9.161,1.35
2011,ITA,9.118,1.44
2011,SVN,10.705,1.56
2011,FIN,11.155,1.83
2011,AUT,9.326,1.43
2011,NOR,12.239,1.88
2011,IRL,16.197,2.03
2011,EST,11.04,1.61
2011,CHE,10.268,1.52
2011,GRC,9.568,1.4
2011,LVA,9.074,1.33
2011,SWE,11.871,1.9
2011,ESP,10.083,1.34
2011,SVK,11.277,1.45
2011,DEU,8.261,1.36
2011,LUX,11.017,1.52
2011,ISL,14.106,2.02
2012,ISL,14.184,2.04
2012,LUX,11.481,1.57
2012,DEU,8.385,1.41
2012,SVK,10.276,1.34
2012,ESP,9.683,1.32
2012,SWE,11.935,1.91
2012,LVA,9.73,1.44
2012,GRC,9.054,1.34
2012,CHE,10.329,1.52
2012,EST,10.607,1.56
2012,IRL,15.618,1.98
2012,NOR,12.085,1.85
2012,AUT,9.39,1.44
2012,FIN,11.015,1.8
2012,SVN,10.673,1.58
2012,ITA,8.888,1.43
2012,PRT,8.509,1.28
2012,HUN,9.089,1.34
2012,DNK,10.378,1.73
2012,NLD,10.517,1.72
2012,GBR,12.757,1.48
2012,LTU,9.969,1.6
2012,FRA,12.59,2.01
2012,POL,10.148,1.3
2013,POL,9.71,1.3
2013,FRA,12.383,1.99
2013,LTU,9.702,1.59
2013,GBR,12.139,1.83
2013,NLD,10.211,1.67
2013,DNK,9.973,1.66
2013,HUN,9.047,1.36
2013,PRT,7.882,1.21
2013,ITA,8.532,1.39
2013,SVN,10.254,1.55
2013,FIN,10.713,1.75
2013,AUT,9.386,1.44
2013,NOR,11.656,1.78
2013,IRL,14.958,1.94
2013,EST,10.249,1.53
2013,CHE,10.291,1.52
2013,GRC,8.555,1.3
2013,LVA,10.177,1.53
2013,SWE,11.887,1.88
2013,ESP,9.086,1.28
2013,SVK,10.132,1.35
2013,DEU,8.47,1.42
2013,LUX,11.387,1.55
2013,ISL,13.441,1.93
2014,ISL,13.434,1.93
2014,LUX,11.043,1.5
2014,DEU,8.852,1.48
2014,SVK,10.161,1.37
2014,ESP,9.164,1.32
2014,SWE,11.914,1.88
2014,LVA,10.865,1.65
2014,GRC,8.433,1.3
2014,CHE,10.478,1.54
2014,EST,10.299,1.55
2014,IRL,14.51,1.9
2014,NOR,11.543,1.75
2014,AUT,9.606,1.46
2014,FIN,10.499,1.71
2014,SVN,10.269,1.58
2014,ITA,8.329,1.38
2014,PRT,7.886,1.23
2014,HUN,9.47,1.44
2014,DNK,10.106,1.68
2014,NLD,10.409,1.71
2014,GBR,12.011,1.82
2014,LTU,9.961,1.57
2014,FRA,12.383,2.0
2014,POL,9.868,1.33
2015,POL,9.717,1.33
2015,FRA,12.033,1.96
2015,LTU,10.273,1.63
2015,GBR,11.938,1.81
2015,NLD,10.089,1.66
2015,DNK,10.284,1.7
2015,HUN,9.386,1.46
2015,PRT,8.225,1.31
2015,ITA,8.057,1.36
2015,SVN,10.006,1.58
2015,FIN,10.138,1.65
2015,AUT,9.829,1.49
2015,NOR,11.385,1.73
2015,IRL,14.011,1.86
2015,EST,10.577,1.58
2015,CHE,10.508,1.54
2015,GRC,8.459,1.33
2015,LVA,11.066,1.71
2015,SWE,11.785,1.85
2015,ESP,9.013,1.33
2015,SVK,10.256,1.41
2015,DEU,9.084,1.5
2015,LUX,10.862,1.47
2015,ISL,12.546,1.81
2016,ISL,12.131,1.75
2016,LUX,10.499,1.42
2016,DEU,9.64,1.6
2016,SVK,10.607,1.49
2016,ESP,8.805,1.33
2016,SWE,11.92,1.86
2016,LVA,11.157,1.74
2016,GRC,8.615,1.38
2016,CHE,10.554,1.55
2016,EST,10.679,1.61
2016,IRL,13.508,1.82
2016,NOR,11.295,1.71
2016,AUT,10.077,1.53
2016,FIN,9.625,1.57
2016,SVN,9.856,1.59
2016,ITA,7.869,1.35
2016,PRT,8.403,1.36
2016,HUN,9.751,1.54
2016,DNK,10.796,1.78
2016,NLD,10.161,1.66
2016,GBR,11.808,1.79
2016,LTU,10.193,1.63
2016,FRA,11.77,1.92
2016,POL,10.068,1.39
2017,POL,10.586,1.49
2017,FRA,11.526,1.89
2017,LTU,9.762,1.57
2017,GBR,11.444,1.74
2017,NLD,9.943,1.62
2017,DNK,10.68,1.75
2017,HUN,9.717,1.56
2017,PRT,8.329,1.38
2017,ITA,7.627,1.33
2017,SVN,9.798,1.62
2017,FIN,9.144,1.49
2017,AUT,9.989,1.52
2017,NOR,10.77,1.63
2017,IRL,12.882,1.77
2017,EST,10.477,1.6
2017,CHE,10.378,1.53
2017,GRC,8.224,1.35
2017,LVA,10.68,1.7
2017,SWE,11.547,1.79
2017,ESP,8.415,1.3
2017,SVK,10.665,1.53
2017,DEU,9.511,1.58
2017,LUX,10.453,1.4
2017,ISL,12.032,1.71
2018,ISL,12.134,1.71
2018,LUX,10.422,1.39
2018,DEU,9.512,1.57
2018,SVK,10.589,1.55
2018,ESP,7.95,1.25
2018,SWE,11.446,1.76
2018,LVA,9.985,1.61
2018,GRC,8.048,1.35
2018,CHE,10.355,1.52
2018,EST,10.891,1.68
2018,IRL,12.567,1.75
2018,NOR,10.409,1.57
2018,AUT,9.695,1.48
2018,FIN,8.63,1.41
2018,SVN,9.476,1.61
2018,ITA,7.337,1.3
2018,PRT,8.419,1.42
2018,HUN,9.622,1.56
2018,DNK,10.634,1.73
2018,NLD,9.809,1.59
2018,GBR,11.028,1.68
2018,LTU,9.48,1.53
2018,FRA,11.327,1.87
2018,POL,10.221,1.46
2019,POL,9.874,1.44
2019,FRA,11.205,1.86
2019,LTU,8.88,1.44
2019,GBR,10.694,1.48
2019,NLD,9.818,1.57
2019,DNK,10.535,1.7
2019,HUN,9.598,1.57
2019,PRT,8.378,1.43
2019,ITA,7.023,1.26
2019,SVN,9.288,1.61
2019,FIN,8.266,1.35
2019,AUT,9.59,1.47
2019,NOR,10.228,1.54
2019,IRL,12.001,1.69
2019,EST,10.642,1.67
2019,CHE,10.085,1.49
2019,GRC,7.81,1.33
2019,LVA,9.785,1.61
2019,SWE,11.195,1.72
2019,ESP,7.646,1.23
2019,SVK,10.468,1.57
2019,DEU,9.372,1.55
2019,LUX,10.148,1.34
2019,ISL,12.471,1.75
2020,ISL,12.391,1.73
2020,LUX,10.316,1.37
2020,DEU,9.296,1.54
2020,SVK,10.38,1.59
2020,ESP,7.199,1.18
2020,SWE,10.949,1.68
2020,LVA,9.201,1.55
2020,GRC,7.908,1.38
2020,CHE,9.983,1.47
2020,EST,9.939,1.59
2020,IRL,11.164,1.6
2020,NOR,9.87,1.48
2020,AUT,9.392,1.44
2020,FIN,8.409,1.37
2020,SVN,8.954,1.59
2020,ITA,6.789,1.24
2020,PRT,8.147,1.41
2020,HUN,9.681,1.61
2020,DNK,10.465,1.68
2020,NLD,9.69,1.55
2020,GBR,10.21,1.48
2020,LTU,8.383,1.36
2020,FRA,10.905,1.82
2020,POL,9.361,1.4
2021,POL,8.942,1.34
2021,FRA,10.964,1.82
2021,LTU,8.3,1.37
2021,GBR,10.37,1.48
2021,NLD,10.268,1.63
2021,DNK,10.869,1.73
2021,HUN,9.74,1.63
2021,PRT,7.656,1.35
2021,ITA,6.757,1.25
2021,SVN,9.002,1.64
2021,FIN,8.962,1.46
2021,AUT,9.636,1.48
2021,NOR,10.398,1.56
2021,IRL,11.951,1.72
2021,EST,9.978,1.61
2021,CHE,10.339,1.53
2021,GRC,7.992,1.42
2021,LVA,9.201,1.57
2021,SWE,11.009,1.69
2021,ESP,7.106,1.18
2021,SVK,10.36,1.63
2021,DEU,9.566,1.58
2021,LUX,10.54,1.39
2021,ISL,13.23,1.83
