STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,FREQ,Fréquence d'observation,MEASURE,Mesure,UNIT_MEASURE,Unité de mesure,EXPEND_SOURCE,Source des dépenses,SPENDING_TYPE,Type de dépenses,PROGRAMME_TYPE,Type de programme,PRICE_BASE,Type de prix,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Décimales,CURRENCY,Monnaie,BASE_PER,Période de base
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,MEX,Mexique,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,_T,Total,TP51,Famille,V,Prix courants,2019,,128.606,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,MEX,Mexique,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,_T,Total,TP51,Famille,V,Prix courants,2020,,124.792,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,MEX,Mexique,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,_T,Total,TP51,Famille,V,Prix courants,2021,,128.777,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,MEX,Mexique,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,_T,Total,TP51,Famille,V,Prix courants,2022,,136.792,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,MEX,Mexique,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,_T,Total,TP51,Famille,V,Prix courants,2023,,139.844,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,NLD,Pays-Bas,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,_T,Total,TP51,Famille,V,Prix courants,1990,,295.868,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,NLD,Pays-Bas,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,_T,Total,TP51,Famille,V,Prix courants,1991,,298.307,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,NLD,Pays-Bas,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,_T,Total,TP51,Famille,V,Prix courants,1992,,290.213,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,NLD,Pays-Bas,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,_T,Total,TP51,Famille,V,Prix courants,1993,,294.797,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,NLD,Pays-Bas,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,_T,Total,TP51,Famille,V,Prix courants,1994,,297.891,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,NLD,Pays-Bas,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,_T,Total,TP51,Famille,V,Prix courants,1995,,306.719,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,NLD,Pays-Bas,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,_T,Total,TP51,Famille,V,Prix courants,1996,,288.155,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,NLD,Pays-Bas,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,_T,Total,TP51,Famille,V,Prix courants,1997,,311.044,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_FAM(1.0),"Dépenses publiques pour la famille selon le type de dépense (en espèces et en nature), en % du PIB",I,NLD,Pays-Bas,A,Annuelle,SOCX,Dépenses sociales,USD_PPP_PS,"Dollars des É-U par personne, PPA convertis",ES10,Publiques,_T,Total,TP51,Famille,V,Prix courants,1998,,408.343,,A,Valeur normale,0,Units,1,One,_Z,N'est pas applicable,,
