STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,UNIT_MEASURE,Unité de measure,SEX,Sexe,AGE,Âge,TIME_HORIZ,Horizon temporel,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Décimales
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,ITA,Italie,POP,Population,PS,Personnes,_T,Total,Y_LT20,Moins de 20 ans,H,Historical,2024,,10024582,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,ITA,Italie,POP,Population,PS,Personnes,_T,Total,Y_GE65,65 ans et plus,H,Historical,2024,,14464951,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,JPN,Japon,POP,Population,PS,Personnes,_T,Total,Y_LT20,Moins de 20 ans,H,Historical,2024,,19287347,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,JPN,Japon,POP,Population,PS,Personnes,_T,Total,Y_GE65,65 ans et plus,H,Historical,2024,,36243370,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,JPN,Japon,POP,Population,PS,Personnes,_T,Total,Y20T64,De 20 à 64 ans,H,Historical,2024,,68271033,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,JPN,Japon,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2024,,123801750,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,KOR,Corée,POP,Population,PS,Personnes,_T,Total,Y20T64,De 20 à 64 ans,H,Historical,2024,,34054742,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,KOR,Corée,POP,Population,PS,Personnes,_T,Total,Y_LT20,Moins de 20 ans,H,Historical,2024,,7758088,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,KOR,Corée,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2024,,51751065,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,KOR,Corée,POP,Population,PS,Personnes,_T,Total,Y_GE65,65 ans et plus,H,Historical,2024,,9938235,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,LVA,Lettonie,POP,Population,PS,Personnes,_T,Total,Y_GE65,65 ans et plus,H,Historical,2024,,404438,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,LVA,Lettonie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2024,,1866124,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,LVA,Lettonie,POP,Population,PS,Personnes,_T,Total,Y20T64,De 20 à 64 ans,H,Historical,2024,,1076294,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,LVA,Lettonie,POP,Population,PS,Personnes,_T,Total,Y_LT20,Moins de 20 ans,H,Historical,2024,,385392,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,LTU,Lituanie,POP,Population,PS,Personnes,_T,Total,Y_LT20,Moins de 20 ans,H,Historical,2024,,554615,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,LTU,Lituanie,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2024,,2888055,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,LTU,Lituanie,POP,Population,PS,Personnes,_T,Total,Y20T64,De 20 à 64 ans,H,Historical,2024,,1738165,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,LTU,Lituanie,POP,Population,PS,Personnes,_T,Total,Y_GE65,65 ans et plus,H,Historical,2024,,595271,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,LUX,Luxembourg,POP,Population,PS,Personnes,_T,Total,Y_GE65,65 ans et plus,H,Historical,2024,,102457,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,LUX,Luxembourg,POP,Population,PS,Personnes,_T,Total,Y_LT20,Moins de 20 ans,H,Historical,2024,,141717,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,LUX,Luxembourg,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2024,,677010,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,LUX,Luxembourg,POP,Population,PS,Personnes,_T,Total,Y20T64,De 20 à 64 ans,H,Historical,2024,,432836,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,MEX,Mexique,POP,Population,PS,Personnes,_T,Total,Y20T64,De 20 à 64 ans,H,Historical,2024,,77726669,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,MEX,Mexique,POP,Population,PS,Personnes,_T,Total,_T,Total,H,Historical,2024,,132274416,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,MEX,Mexique,POP,Population,PS,Personnes,_T,Total,Y_LT20,Moins de 20 ans,H,Historical,2024,,43330213,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,MEX,Mexique,POP,Population,PS,Personnes,_T,Total,Y_GE65,65 ans et plus,H,Historical,2024,,11217534,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,NLD,Pays-Bas,POP,Population,PS,Personnes,_T,Total,Y_LT20,Moins de 20 ans,H,Historical,2024,,3726349,,A,Valeur normale,0,Units,0,Zero
