Year,REF_AREA,birth_rate,fertility,emp_rate,20-,20-64,65+,Alcohol_Tobacco,Clothing_Footwear,Communication,Education,Food,Health,Household_Goods,Housing_Utilities,Other_Services,Recreation_Culture,Restaurants_Hotels,Transport,gov_spending,"Couple, 2 children","Couple, no children","Single person, no children"
2001,ISL,14.437,1.95,88.34,30.53,57.87,11.6,5.26,5.68,2.3,1.16,15.13,3.06,6.55,17.34,8.41,12.79,8.48,13.82,2.386,22.21,23.66,25.64
2002,ISL,14.129,1.93,87.37,30.18,58.14,11.67,5.4,5.13,2.57,1.32,15.13,3.19,6.2,18.4,8.37,12.81,8.06,13.43,2.58,24.47,25.32,27.25
2002,LUX,12.037,1.63,68.4,24.48,61.53,13.99,11.14,5.54,1.46,0.58,8.64,1.93,6.7,21.44,13.35,7.04,7.37,14.79,3.366,7.87,18.96,23.98
2002,DEU,8.724,1.34,68.75,20.82,61.9,17.28,3.85,5.79,2.73,0.69,10.92,4.13,6.95,24.13,11.68,10.31,5.26,13.57,2.057,33.35,39.76,42.66
2002,SVK,9.452,1.19,63.65,26.59,61.96,11.45,6.26,4.95,3.77,0.8,17.46,0.99,5.41,29.42,7.03,8.72,7.28,7.93,1.794,12.75,19.58,20.53
2002,ESP,10.179,1.25,63.09,20.34,62.69,16.96,4.31,5.78,2.61,1.5,14.16,3.23,5.49,15.98,9.55,8.78,17.23,11.37,0.861,16.67,18.76,20.47
2002,SWE,10.755,1.65,78.68,24.0,58.83,17.18,4.06,4.72,3.2,0.03,12.44,2.93,4.96,27.15,9.8,12.17,5.32,13.22,3.051,25.37,30.14,30.63
2002,LVA,8.672,1.26,66.51,24.38,59.99,15.63,8.91,4.97,2.68,1.88,25.35,4.54,2.75,18.99,5.17,8.49,5.28,10.99,1.386,18.5,27.68,28.35
2002,GRC,9.512,1.28,62.49,21.88,60.5,17.62,4.8,6.59,3.4,1.68,16.39,4.32,4.07,17.2,9.8,4.83,14.36,12.56,0.747,22.26,21.71,22.13
2002,CHE,9.975,1.39,81.21,22.55,61.86,15.59,4.48,2.92,2.16,0.77,9.39,13.02,3.94,23.53,10.77,9.27,9.94,9.83,1.43,12.53,17.9,17.83
2002,EST,9.397,1.36,67.79,24.06,60.3,15.64,7.65,6.85,3.01,1.16,20.01,3.06,4.99,20.35,7.19,8.61,6.36,10.76,1.575,17.69,21.89,22.69
2002,IRL,15.515,1.97,72.17,29.12,59.75,11.13,7.32,5.76,2.54,1.13,10.55,2.76,6.88,19.29,11.17,7.63,14.29,10.69,2.545,13.38,17.12,21.91
2002,NOR,12.253,1.75,79.64,25.97,59.17,14.87,4.52,5.6,2.76,0.57,14.04,2.86,6.27,21.18,8.77,12.85,6.13,14.44,3.018,25.18,29.24,30.79
