REF_AREA,Country,Year,Sex,Age,Measure,Value_emp_rate
ESP,Espagne,2004,Total,20-64,Employment to population ratio,65.39
SWE,Suède,2004,Total,20-64,Employment to population ratio,77.61
CHE,Suisse,2004,Total,20-64,Employment to population ratio,79.98
GBR,Royaume-Uni,2004,Total,20-64,Employment to population ratio,74.56
BGR,Bulgarie,2004,Total,20-64,Employment to population ratio,60.13
HRV,Croatie,2004,Total,20-64,Employment to population ratio,59.57
ROU,Roumanie,2004,Total,20-64,Employment to population ratio,63.51
AUT,Autriche,2001,Total,20-64,Employment to population ratio,71.19
BEL,Belgique,2001,Total,20-64,Employment to population ratio,64.99
DNK,Danemark,2001,Total,20-64,Employment to population ratio,78.36
EST,Estonie,2001,Total,20-64,Employment to population ratio,67.41
FIN,Finlande,2001,Total,20-64,Employment to population ratio,72.71
FRA,France,2001,Total,20-64,Employment to population ratio,69.2
DEU,Allemagne,2001,Total,20-64,Employment to population ratio,69.08
GRC,Grèce,2001,Total,20-64,Employment to population ratio,61.53
HUN,Hongrie,2001,Total,20-64,Employment to population ratio,61.3
ISL,Islande,2001,Total,20-64,Employment to population ratio,88.34
IRL,Irlande,2001,Total,20-64,Employment to population ratio,72.49
ITA,Italie,2001,Total,20-64,Employment to population ratio,58.63
LVA,Lettonie,2001,Total,20-64,Employment to population ratio,64.69
LTU,Lituanie,2001,Total,20-64,Employment to population ratio,64.04
LUX,Luxembourg,2001,Total,20-64,Employment to population ratio,67.55
NLD,Pays-Bas,2001,Total,20-64,Employment to population ratio,73.68
NOR,Norvège,2001,Total,20-64,Employment to population ratio,80.14
POL,Pologne,2001,Total,20-64,Employment to population ratio,59.23
PRT,Portugal,2001,Total,20-64,Employment to population ratio,73.88
SVK,République slovaque,2001,Total,20-64,Employment to population ratio,63.56
SVN,Slovénie,2001,Total,20-64,Employment to population ratio,69.42
ESP,Espagne,2001,Total,20-64,Employment to population ratio,62.04
SWE,Suède,2001,Total,20-64,Employment to population ratio,78.79
CHE,Suisse,2001,Total,20-64,Employment to population ratio,81.86
GBR,Royaume-Uni,2001,Total,20-64,Employment to population ratio,74.2
BGR,Bulgarie,2001,Total,20-64,Employment to population ratio,54.84
ROU,Roumanie,2001,Total,20-64,Employment to population ratio,68.31
AUT,Autriche,2000,Total,20-64,Employment to population ratio,71.26
BEL,Belgique,2000,Total,20-64,Employment to population ratio,65.82
DNK,Danemark,2000,Total,20-64,Employment to population ratio,78.06
EST,Estonie,2000,Total,20-64,Employment to population ratio,66.45
FIN,Finlande,2000,Total,20-64,Employment to population ratio,71.85
FRA,France,2000,Total,20-64,Employment to population ratio,68.7
DEU,Allemagne,2000,Total,20-64,Employment to population ratio,68.79
GRC,Grèce,2000,Total,20-64,Employment to population ratio,61.85
HUN,Hongrie,2000,Total,20-64,Employment to population ratio,61.11
ISL,Islande,2000,Total,20-64,Employment to population ratio,88.4
IRL,Irlande,2000,Total,20-64,Employment to population ratio,71.74
ITA,Italie,2000,Total,20-64,Employment to population ratio,57.53
LVA,Lettonie,2000,Total,20-64,Employment to population ratio,63.43
LTU,Lituanie,2000,Total,20-64,Employment to population ratio,65.37
LUX,Luxembourg,2000,Total,20-64,Employment to population ratio,67.47
NLD,Pays-Bas,2000,Total,20-64,Employment to population ratio,73.65
NOR,Norvège,2000,Total,20-64,Employment to population ratio,80.33
PRT,Portugal,2000,Total,20-64,Employment to population ratio,73.42
SVK,République slovaque,2000,Total,20-64,Employment to population ratio,63.52
SVN,Slovénie,2000,Total,20-64,Employment to population ratio,68.5
ESP,Espagne,2000,Total,20-64,Employment to population ratio,60.69
SWE,Suède,2000,Total,20-64,Employment to population ratio,77.82
CHE,Suisse,2000,Total,20-64,Employment to population ratio,80.89
GBR,Royaume-Uni,2000,Total,20-64,Employment to population ratio,73.84
BGR,Bulgarie,2000,Total,20-64,Employment to population ratio,55.34
ROU,Roumanie,2000,Total,20-64,Employment to population ratio,69.05
AUT,Autriche,1997,Total,20-64,Employment to population ratio,70.63
BEL,Belgique,1997,Total,20-64,Employment to population ratio,62.36
DNK,Danemark,1997,Total,20-64,Employment to population ratio,76.69
EST,Estonie,1997,Total,20-64,Employment to population ratio,71.39
FIN,Finlande,1997,Total,20-64,Employment to population ratio,67.85
FRA,France,1997,Total,20-64,Employment to population ratio,66.53
DEU,Allemagne,1997,Total,20-64,Employment to population ratio,67.06
GRC,Grèce,1997,Total,20-64,Employment to population ratio,60.39
HUN,Hongrie,1997,Total,20-64,Employment to population ratio,58.32
ISL,Islande,1997,Total,20-64,Employment to population ratio,85.57
IRL,Irlande,1997,Total,20-64,Employment to population ratio,62.67
ITA,Italie,1997,Total,20-64,Employment to population ratio,55.33
LUX,Luxembourg,1997,Total,20-64,Employment to population ratio,64.43
NLD,Pays-Bas,1997,Total,20-64,Employment to population ratio,69.96
NOR,Norvège,1997,Total,20-64,Employment to population ratio,80.21
POL,Pologne,1997,Total,20-64,Employment to population ratio,65.08
PRT,Portugal,1997,Total,20-64,Employment to population ratio,68.98
SVK,République slovaque,1997,Total,20-64,Employment to population ratio,68.04
ESP,Espagne,1997,Total,20-64,Employment to population ratio,54.29
SWE,Suède,1997,Total,20-64,Employment to population ratio,74.58
CHE,Suisse,1997,Total,20-64,Employment to population ratio,79.53
GBR,Royaume-Uni,1997,Total,20-64,Employment to population ratio,72.32
AUT,Autriche,1996,Total,20-64,Employment to population ratio,70.41
BEL,Belgique,1996,Total,20-64,Employment to population ratio,61.45
DNK,Danemark,1996,Total,20-64,Employment to population ratio,75.54
EST,Estonie,1996,Total,20-64,Employment to population ratio,70.65
FIN,Finlande,1996,Total,20-64,Employment to population ratio,67.17
FRA,France,1996,Total,20-64,Employment to population ratio,66.87
DEU,Allemagne,1996,Total,20-64,Employment to population ratio,67.43
GRC,Grèce,1996,Total,20-64,Employment to population ratio,60.4
HUN,Hongrie,1996,Total,20-64,Employment to population ratio,58.52
ISL,Islande,1996,Total,20-64,Employment to population ratio,86.37
IRL,Irlande,1996,Total,20-64,Employment to population ratio,61.6
ITA,Italie,1996,Total,20-64,Employment to population ratio,55.31
LUX,Luxembourg,1996,Total,20-64,Employment to population ratio,63.21
NLD,Pays-Bas,1996,Total,20-64,Employment to population ratio,68.3
NOR,Norvège,1996,Total,20-64,Employment to population ratio,78.67
POL,Pologne,1996,Total,20-64,Employment to population ratio,64.54
PRT,Portugal,1996,Total,20-64,Employment to population ratio,68.0
SVK,République slovaque,1996,Total,20-64,Employment to population ratio,69.31
ESP,Espagne,1996,Total,20-64,Employment to population ratio,52.85
SWE,Suède,1996,Total,20-64,Employment to population ratio,75.46
CHE,Suisse,1996,Total,20-64,Employment to population ratio,79.59
GBR,Royaume-Uni,1996,Total,20-64,Employment to population ratio,71.23
AUT,Autriche,1999,Total,20-64,Employment to population ratio,71.32
BEL,Belgique,1999,Total,20-64,Employment to population ratio,64.26
DNK,Danemark,1999,Total,20-64,Employment to population ratio,77.92
EST,Estonie,1999,Total,20-64,Employment to population ratio,68.27
FIN,Finlande,1999,Total,20-64,Employment to population ratio,70.98
FRA,France,1999,Total,20-64,Employment to population ratio,67.57
DEU,Allemagne,1999,Total,20-64,Employment to population ratio,68.32
GRC,Grèce,1999,Total,20-64,Employment to population ratio,60.72
HUN,Hongrie,1999,Total,20-64,Employment to population ratio,60.42
ISL,Islande,1999,Total,20-64,Employment to population ratio,88.7
IRL,Irlande,1999,Total,20-64,Employment to population ratio,69.82
ITA,Italie,1999,Total,20-64,Employment to population ratio,56.6
LUX,Luxembourg,1999,Total,20-64,Employment to population ratio,65.96
NLD,Pays-Bas,1999,Total,20-64,Employment to population ratio,72.52
NOR,Norvège,1999,Total,20-64,Employment to population ratio,80.79
POL,Pologne,1999,Total,20-64,Employment to population ratio,63.54
PRT,Portugal,1999,Total,20-64,Employment to population ratio,72.6
SVK,République slovaque,1999,Total,20-64,Employment to population ratio,64.97
ESP,Espagne,1999,Total,20-64,Employment to population ratio,58.35
SWE,Suède,1999,Total,20-64,Employment to population ratio,76.5
CHE,Suisse,1999,Total,20-64,Employment to population ratio,80.92
GBR,Royaume-Uni,1999,Total,20-64,Employment to population ratio,73.33
AUT,Autriche,1998,Total,20-64,Employment to population ratio,70.65
BEL,Belgique,1998,Total,20-64,Employment to population ratio,62.64
DNK,Danemark,1998,Total,20-64,Employment to population ratio,76.89
EST,Estonie,1998,Total,20-64,Employment to population ratio,70.86
FIN,Finlande,1998,Total,20-64,Employment to population ratio,69.19
FRA,France,1998,Total,20-64,Employment to population ratio,66.98
DEU,Allemagne,1998,Total,20-64,Employment to population ratio,68.04
GRC,Grèce,1998,Total,20-64,Employment to population ratio,60.75
HUN,Hongrie,1998,Total,20-64,Employment to population ratio,58.55
ISL,Islande,1998,Total,20-64,Employment to population ratio,87.18
IRL,Irlande,1998,Total,20-64,Employment to population ratio,67.18
ITA,Italie,1998,Total,20-64,Employment to population ratio,55.86
LUX,Luxembourg,1998,Total,20-64,Employment to population ratio,64.67
NLD,Pays-Bas,1998,Total,20-64,Employment to population ratio,71.42
NOR,Norvège,1998,Total,20-64,Employment to population ratio,81.22
POL,Pologne,1998,Total,20-64,Employment to population ratio,65.47
PRT,Portugal,1998,Total,20-64,Employment to population ratio,72.06
SVK,République slovaque,1998,Total,20-64,Employment to population ratio,67.42
ESP,Espagne,1998,Total,20-64,Employment to population ratio,55.93
SWE,Suède,1998,Total,20-64,Employment to population ratio,75.33
CHE,Suisse,1998,Total,20-64,Employment to population ratio,80.43
GBR,Royaume-Uni,1998,Total,20-64,Employment to population ratio,72.64
AUT,Autriche,1995,Total,20-64,Employment to population ratio,71.25
BEL,Belgique,1995,Total,20-64,Employment to population ratio,61.45
DNK,Danemark,1995,Total,20-64,Employment to population ratio,75.28
EST,Estonie,1995,Total,20-64,Employment to population ratio,71.39
FIN,Finlande,1995,Total,20-64,Employment to population ratio,66.31
FRA,France,1995,Total,20-64,Employment to population ratio,66.59
DEU,Allemagne,1995,Total,20-64,Employment to population ratio,67.57
GRC,Grèce,1995,Total,20-64,Employment to population ratio,59.85
HUN,Hongrie,1995,Total,20-64,Employment to population ratio,58.9
ISL,Islande,1995,Total,20-64,Employment to population ratio,86.04
IRL,Irlande,1995,Total,20-64,Employment to population ratio,60.66
ITA,Italie,1995,Total,20-64,Employment to population ratio,55.16
LUX,Luxembourg,1995,Total,20-64,Employment to population ratio,62.39
NLD,Pays-Bas,1995,Total,20-64,Employment to population ratio,67.6
NOR,Norvège,1995,Total,20-64,Employment to population ratio,77.0
POL,Pologne,1995,Total,20-64,Employment to population ratio,64.3
PRT,Portugal,1995,Total,20-64,Employment to population ratio,67.83
SVK,République slovaque,1995,Total,20-64,Employment to population ratio,67.38
ESP,Espagne,1995,Total,20-64,Employment to population ratio,51.81
SWE,Suède,1995,Total,20-64,Employment to population ratio,76.01
CHE,Suisse,1995,Total,20-64,Employment to population ratio,79.35
GBR,Royaume-Uni,1995,Total,20-64,Employment to population ratio,70.73
AUT,Autriche,1994,Total,20-64,Employment to population ratio,70.74
BEL,Belgique,1994,Total,20-64,Employment to population ratio,60.82
DNK,Danemark,1994,Total,20-64,Employment to population ratio,74.12
EST,Estonie,1994,Total,20-64,Employment to population ratio,73.07
FIN,Finlande,1994,Total,20-64,Employment to population ratio,65.14
FRA,France,1994,Total,20-64,Employment to population ratio,66.01
DEU,Allemagne,1994,Total,20-64,Employment to population ratio,67.22
GRC,Grèce,1994,Total,20-64,Employment to population ratio,59.27
HUN,Hongrie,1994,Total,20-64,Employment to population ratio,59.32
ISL,Islande,1994,Total,20-64,Employment to population ratio,84.51
IRL,Irlande,1994,Total,20-64,Employment to population ratio,58.73
ITA,Italie,1994,Total,20-64,Employment to population ratio,55.72
LUX,Luxembourg,1994,Total,20-64,Employment to population ratio,63.91
NLD,Pays-Bas,1994,Total,20-64,Employment to population ratio,66.42
NOR,Norvège,1994,Total,20-64,Employment to population ratio,75.79
POL,Pologne,1994,Total,20-64,Employment to population ratio,64.24
PRT,Portugal,1994,Total,20-64,Employment to population ratio,68.44
SVK,République slovaque,1994,Total,20-64,Employment to population ratio,66.91
ESP,Espagne,1994,Total,20-64,Employment to population ratio,50.9
SWE,Suède,1994,Total,20-64,Employment to population ratio,75.48
CHE,Suisse,1994,Total,20-64,Employment to population ratio,78.53
GBR,Royaume-Uni,1994,Total,20-64,Employment to population ratio,70.22
