Year,REF_AREA,Country,Age,Sex,Unit_measure,Unit_mult,Value_population
1994,BEL,Belgique,0-19,Total,PT_POP,0,18.13
1994,BGR,Bulgarie,0-19,Total,PS,0,2213550.0
1994,BGR,Bulgarie,0-19,Total,PT_POP,0,18.6
1994,CHE,Suisse,0-19,Total,PS,0,1621579.0
1994,CHE,Suisse,0-19,Total,PT_POP,0,17.57
1994,DEU,Allemagne,0-19,Total,PS,0,17507948.0
1994,DEU,Allemagne,0-19,Total,PT_POP,0,16.36
1994,DNK,Danemark,0-19,Total,PS,0,1228728.0
1994,DNK,Danemark,0-19,Total,PT_POP,0,17.11
1994,ESP,Espagne,0-19,Total,PS,0,10231567.0
1994,ESP,Espagne,0-19,Total,PT_POP,0,17.47
1994,EST,Estonie,0-19,Total,PS,0,415622.0
1994,EST,Estonie,0-19,Total,PT_POP,0,21.23
1994,FIN,Finlande,0-19,Total,PS,0,1296324.0
1994,FIN,Finlande,0-19,Total,PT_POP,0,19.12
1994,FRA,France,0-19,Total,PS,0,15179775.0
1994,FRA,France,0-19,Total,PT_POP,0,19.78
1994,GBR,Royaume-Uni,0-19,Total,PS,0,14678700.0
1994,GBR,Royaume-Uni,0-19,Total,PT_POP,0,19.52
1994,GRC,Grèce,0-19,Total,PS,0,2613262.0
1994,GRC,Grèce,0-19,Total,PT_POP,0,17.45
1994,HUN,Hongrie,0-19,Total,PS,0,2804923.0
1994,HUN,Hongrie,0-19,Total,PT_POP,0,18.64
1994,IRL,Irlande,0-19,Total,PS,0,1234091.0
1994,IRL,Irlande,0-19,Total,PT_POP,0,25.21
1994,ISL,Islande,0-19,Total,PS,0,86343.0
1994,ISL,Islande,0-19,Total,PT_POP,0,24.83
1994,ITA,Italie,0-19,Total,PS,0,12369250.0
1994,ITA,Italie,0-19,Total,PT_POP,0,14.94
1994,LTU,Lituanie,0-19,Total,PS,0,1071072.0
1994,LTU,Lituanie,0-19,Total,PT_POP,0,22.17
1994,LUX,Luxembourg,0-19,Total,PS,0,94235.0
1994,LUX,Luxembourg,0-19,Total,PT_POP,0,18.14
1994,LVA,Lettonie,0-19,Total,PS,0,702418.0
1994,LVA,Lettonie,0-19,Total,PT_POP,0,21.11
1994,NLD,Pays-Bas,0-19,Total,PS,0,3751154.0
1994,NLD,Pays-Bas,0-19,Total,PT_POP,0,18.35
1994,NOR,Norvège,0-19,Total,PS,0,1114837.0
1994,NOR,Norvège,0-19,Total,PT_POP,0,19.32
1994,POL,Pologne,0-19,Total,PS,0,12250443.0
1994,POL,Pologne,0-19,Total,PT_POP,0,23.66
1994,PRT,Portugal,0-19,Total,PS,0,2657622.0
1994,PRT,Portugal,0-19,Total,PT_POP,0,18.4
1994,ROU,Roumanie,0-19,Total,PS,0,6877257.0
1994,ROU,Roumanie,0-19,Total,PT_POP,0,21.44
1994,SVK,République slovaque,0-19,Total,PS,0,1729412.0
1994,SVK,République slovaque,0-19,Total,PT_POP,0,23.54
1994,SVN,Slovénie,0-19,Total,PS,0,529073.0
1994,SVN,Slovénie,0-19,Total,PT_POP,0,19.07
