Year,REF_AREA,Country,Measure,Unit_measure,Value
2008,SWE,Suède,household_debt,PT,156.3
2008,CHE,Suisse,household_debt,PT,178.31
2008,GBR,Royaume-Uni,household_debt,PT,171.94
2009,AUT,Autriche,household_debt,PT,89.92
2009,BEL,Belgique,household_debt,PT,91.4
2009,DNK,Danemark,household_debt,PT,311.58
2009,EST,Estonie,household_debt,PT,103.56
2009,FIN,Finlande,household_debt,PT,114.9
2009,FRA,France,household_debt,PT,110.75
2009,DEU,Allemagne,household_debt,PT,98.98
2009,GRC,Grèce,household_debt,PT,89.89
2009,HUN,Hongrie,household_debt,PT,78.25
2009,IRL,Irlande,household_debt,PT,235.84
2009,ITA,Italie,household_debt,PT,84.77
2009,LVA,Lettonie,household_debt,PT,80.81
2009,LTU,Lituanie,household_debt,PT,56.46
2009,LUX,Luxembourg,household_debt,PT,146.96
2009,NLD,Pays-Bas,household_debt,PT,298.39
2009,NOR,Norvège,household_debt,PT,202.48
2009,POL,Pologne,household_debt,PT,51.47
2009,PRT,Portugal,household_debt,PT,145.06
2009,SVK,République slovaque,household_debt,PT,46.64
2009,SVN,Slovénie,household_debt,PT,59.25
2009,ESP,Espagne,household_debt,PT,144.07
2009,SWE,Suède,household_debt,PT,161.83
2009,CHE,Suisse,household_debt,PT,182.65
2009,GBR,Royaume-Uni,household_debt,PT,167.24
2010,AUT,Autriche,household_debt,PT,93.78
2010,BEL,Belgique,household_debt,PT,95.85
2010,DNK,Danemark,household_debt,PT,307.15
2010,EST,Estonie,household_debt,PT,103.26
2010,FIN,Finlande,household_debt,PT,116.04
2010,FRA,France,household_debt,PT,114.94
2010,DEU,Allemagne,household_debt,PT,97.21
2010,GRC,Grèce,household_debt,PT,110.16
2010,HUN,Hongrie,household_debt,PT,81.06
2010,IRL,Irlande,household_debt,PT,228.47
2010,ITA,Italie,household_debt,PT,88.61
2010,LVA,Lettonie,household_debt,PT,80.91
2010,LTU,Lituanie,household_debt,PT,55.32
2010,LUX,Luxembourg,household_debt,PT,153.24
2010,NLD,Pays-Bas,household_debt,PT,304.76
2010,NOR,Norvège,household_debt,PT,207.29
2010,POL,Pologne,household_debt,PT,54.91
2010,PRT,Portugal,household_debt,PT,144.73
2010,SVK,République slovaque,household_debt,PT,47.45
2010,SVN,Slovénie,household_debt,PT,61.92
2010,ESP,Espagne,household_debt,PT,143.96
2010,SWE,Suède,household_debt,PT,167.22
2010,CHE,Suisse,household_debt,PT,186.18
2010,GBR,Royaume-Uni,household_debt,PT,163.73
2011,AUT,Autriche,household_debt,PT,94.5
2011,BEL,Belgique,household_debt,PT,100.91
2011,DNK,Danemark,household_debt,PT,293.81
2011,EST,Estonie,household_debt,PT,92.69
2011,FIN,Finlande,household_debt,PT,119.08
2011,FRA,France,household_debt,PT,116.35
2011,DEU,Allemagne,household_debt,PT,95.33
2011,GRC,Grèce,household_debt,PT,116.76
2011,HUN,Hongrie,household_debt,PT,75.04
2011,IRL,Irlande,household_debt,PT,226.12
2011,ITA,Italie,household_debt,PT,88.15
2011,LVA,Lettonie,household_debt,PT,75.4
2011,LTU,Lituanie,household_debt,PT,50.51
2011,LUX,Luxembourg,household_debt,PT,156.24
2011,NLD,Pays-Bas,household_debt,PT,298.22
2011,NOR,Norvège,household_debt,PT,211.13
2011,POL,Pologne,household_debt,PT,58.21
2011,PRT,Portugal,household_debt,PT,150.09
2011,SVK,République slovaque,household_debt,PT,51.35
2011,SVN,Slovénie,household_debt,PT,60.57
2011,ESP,Espagne,household_debt,PT,138.36
2011,SWE,Suède,household_debt,PT,166.46
2011,CHE,Suisse,household_debt,PT,192.61
2011,GBR,Royaume-Uni,household_debt,PT,162.18
2012,AUT,Autriche,household_debt,PT,91.76
2012,BEL,Belgique,household_debt,PT,101.42
2012,DNK,Danemark,household_debt,PT,289.79
2012,EST,Estonie,household_debt,PT,88.3
2012,FIN,Finlande,household_debt,PT,120.8
2012,FRA,France,household_debt,PT,112.74
2012,DEU,Allemagne,household_debt,PT,94.37
2012,GRC,Grèce,household_debt,PT,130.6
2012,HUN,Hongrie,household_debt,PT,64.65
2012,IRL,Irlande,household_debt,PT,209.06
2012,ITA,Italie,household_debt,PT,90.35
2012,LVA,Lettonie,household_debt,PT,64.27
2012,LTU,Lituanie,household_debt,PT,50.41
2012,LUX,Luxembourg,household_debt,PT,160.89
2012,NLD,Pays-Bas,household_debt,PT,299.24
2012,NOR,Norvège,household_debt,PT,215.17
2012,POL,Pologne,household_debt,PT,56.22
2012,PRT,Portugal,household_debt,PT,148.22
2012,SVK,République slovaque,household_debt,PT,57.86
