Year,REF_AREA,Country,Expenditure_name,value_raw,Unit_mult,Currency,Expenditure_Share %
2020,FRA,France,Education,5818.0,6,EUR,0.49
2020,FRA,France,Clothing_Footwear,37429.0,6,EUR,3.14
2020,FRA,France,Alcohol_Tobacco,51953.0,6,EUR,4.36
2020,FRA,France,Housing_Utilities,336356.0,6,EUR,28.24
2020,FRA,France,Other_Services,151791.0,6,EUR,12.75
2020,FRA,France,Transport,139431.0,6,EUR,11.71
2020,FRA,France,Restaurants_Hotels,67186.0,6,EUR,5.64
2020,FRA,France,Recreation_Culture,89407.0,6,EUR,7.51
2020,FRA,France,Communication,30368.0,6,EUR,2.55
2020,FRA,France,Health,47498.0,6,EUR,3.99
2020,FRA,France,Household_Goods,57467.0,6,EUR,4.83
2020,FRA,France,Food,177214.0,6,EUR,14.88
1995,FIN,Finlande,Transport,5924.0,6,EUR,12.25
1995,FIN,Finlande,Other_Services,4716.0,6,EUR,9.75
1995,FIN,Finlande,Food,7411.0,6,EUR,15.32
1995,FIN,Finlande,Housing_Utilities,11889.0,6,EUR,24.58
1995,FIN,Finlande,Recreation_Culture,5087.0,6,EUR,10.52
1995,FIN,Finlande,Health,1631.0,6,EUR,3.37
1995,FIN,Finlande,Household_Goods,2132.0,6,EUR,4.41
1995,FIN,Finlande,Clothing_Footwear,2218.0,6,EUR,4.59
1995,FIN,Finlande,Alcohol_Tobacco,2976.0,6,EUR,6.15
1995,FIN,Finlande,Restaurants_Hotels,3383.0,6,EUR,6.99
1995,FIN,Finlande,Communication,780.0,6,EUR,1.61
1995,FIN,Finlande,Education,228.0,6,EUR,0.47
1996,FIN,Finlande,Other_Services,4496.0,6,EUR,8.87
1996,FIN,Finlande,Food,7068.0,6,EUR,13.94
1996,FIN,Finlande,Transport,6478.0,6,EUR,12.78
1996,FIN,Finlande,Housing_Utilities,12566.0,6,EUR,24.78
1996,FIN,Finlande,Recreation_Culture,5563.0,6,EUR,10.97
1996,FIN,Finlande,Clothing_Footwear,2543.0,6,EUR,5.02
1996,FIN,Finlande,Household_Goods,2289.0,6,EUR,4.51
1996,FIN,Finlande,Health,1827.0,6,EUR,3.6
1996,FIN,Finlande,Education,242.0,6,EUR,0.48
1996,FIN,Finlande,Restaurants_Hotels,3588.0,6,EUR,7.08
1996,FIN,Finlande,Communication,941.0,6,EUR,1.86
1996,FIN,Finlande,Alcohol_Tobacco,3104.0,6,EUR,6.12
1997,FIN,Finlande,Other_Services,4608.0,6,EUR,8.58
1997,FIN,Finlande,Food,7191.0,6,EUR,13.4
1997,FIN,Finlande,Transport,6939.0,6,EUR,12.93
1997,FIN,Finlande,Housing_Utilities,13537.0,6,EUR,25.22
1997,FIN,Finlande,Recreation_Culture,5830.0,6,EUR,10.86
1997,FIN,Finlande,Household_Goods,2500.0,6,EUR,4.66
1997,FIN,Finlande,Health,1962.0,6,EUR,3.65
1997,FIN,Finlande,Clothing_Footwear,2725.0,6,EUR,5.08
1997,FIN,Finlande,Education,301.0,6,EUR,0.56
1997,FIN,Finlande,Communication,1175.0,6,EUR,2.19
1997,FIN,Finlande,Restaurants_Hotels,3648.0,6,EUR,6.8
1997,FIN,Finlande,Alcohol_Tobacco,3268.0,6,EUR,6.09
1998,FIN,Finlande,Other_Services,5198.0,6,EUR,9.11
1998,FIN,Finlande,Food,7335.0,6,EUR,12.86
1998,FIN,Finlande,Transport,7545.0,6,EUR,13.22
1998,FIN,Finlande,Housing_Utilities,14177.0,6,EUR,24.85
1998,FIN,Finlande,Recreation_Culture,6306.0,6,EUR,11.05
1998,FIN,Finlande,Clothing_Footwear,2851.0,6,EUR,5.0
1998,FIN,Finlande,Household_Goods,2769.0,6,EUR,4.85
1998,FIN,Finlande,Health,2046.0,6,EUR,3.59
1998,FIN,Finlande,Education,314.0,6,EUR,0.55
1998,FIN,Finlande,Restaurants_Hotels,3729.0,6,EUR,6.54
1998,FIN,Finlande,Communication,1429.0,6,EUR,2.5
1998,FIN,Finlande,Alcohol_Tobacco,3353.0,6,EUR,5.88
1999,FIN,Finlande,Other_Services,5706.0,6,EUR,9.55
1999,FIN,Finlande,Food,7676.0,6,EUR,12.85
1999,FIN,Finlande,Transport,7786.0,6,EUR,13.03
1999,FIN,Finlande,Housing_Utilities,14872.0,6,EUR,24.89
1999,FIN,Finlande,Recreation_Culture,6569.0,6,EUR,10.99
1999,FIN,Finlande,Household_Goods,2811.0,6,EUR,4.7
1999,FIN,Finlande,Health,2170.0,6,EUR,3.63
1999,FIN,Finlande,Clothing_Footwear,2888.0,6,EUR,4.83
1999,FIN,Finlande,Education,305.0,6,EUR,0.51
1999,FIN,Finlande,Communication,1764.0,6,EUR,2.95
1999,FIN,Finlande,Restaurants_Hotels,3819.0,6,EUR,6.39
